"","Genetic.Elements","Gene","stage","counts","Sample","logCounts"
"1","Chromosome","BB_0001_-_hypothetical_protein","Early",33.3891,"Early Sample 1",1.52360471284588
"2","Chromosome","BB_0002_-_hypothetical_protein","Early",321.012,"Early Sample 1",2.50652126740915
"3","Chromosome","BB_0004_-_phosphoglucomutase","Early",102.616,"Early Sample 1",2.01121508173054
"4","Chromosome","BB_0005_trpS_tryptophan--tRNA_ligase","Early",396.354,"Early Sample 1",2.59808324544644
"5","Chromosome","BB_0006_-_membrane_protein","Early",1690.93,"Early Sample 1",3.2281256293346
"6","Chromosome","BB_0007_-_hypothetical_protein","Early",645.449,"Early Sample 1",2.80986193228237
"7","Chromosome","BB_0008_-_hypothetical_protein","Early",146.664,"Early Sample 1",2.16632352543143
"8","Chromosome","BB_0009_-_hypothetical_protein","Early",134.658,"Early Sample 1",2.12923215984666
"9","Chromosome","BB_0010_-_holo-acyl-carrier_protein_synthase","Early",540.544,"Early Sample 1",2.73283105107278
"10","Chromosome","BB_0011_-_hypothetical_protein","Early",672.404,"Early Sample 1",2.82763028830812
"11","Chromosome","BB_0012_truA_tRNA_pseudouridine_synthase_A","Early",308.874,"Early Sample 1",2.48978135235531
"12","Chromosome","BB_0013_-_hypothetical_protein","Early",231.715,"Early Sample 1",2.36495414862109
"13","Chromosome","BB_0014_priA_primosomal_protein_N","Early",117.211,"Early Sample 1",2.06896837119681
"14","Chromosome","BB_0015_udk_uridine_kinase","Early",1422.39,"Early Sample 1",3.15301869036399
"15","Chromosome","BB_0016_-_GlpE_protein","Early",1831.12,"Early Sample 1",3.2627168061423
"16","Chromosome","BB_0017_-_integral_membrane_protein","Early",36.2793,"Early Sample 1",1.55965889886573
"17","Chromosome","BB_0018_-_ribosomal_large_subunit_pseudouridine_synthase_D","Early",419.183,"Early Sample 1",2.62240366148545
"18","Chromosome","BB_0019_-_hypothetical_protein","Early",1513.91,"Early Sample 1",3.18010005768376
"19","Chromosome","BB_0020_-_diphosphate--fructose-6-phosphate_1-phosphotransferase","Early",1478.22,"Early Sample 1",3.16973907389359
"20","Chromosome","BB_0022_ruvB_Holliday_junction_DNA_helicase_RuvB","Early",635.179,"Early Sample 1",2.80289613120921
"21","Chromosome","BB_0023_ruvA_Holliday_junction_DNA_helicase_RuvA","Early",498.341,"Early Sample 1",2.69752661934296
"22","Chromosome","BB_0024_-_hypothetical_protein","Early",446.327,"Early Sample 1",2.64965315974291
"23","Chromosome","BB_0025_-_transcriptional_regulator","Early",415.411,"Early Sample 1",2.61847799238216
"24","Chromosome","BB_0026_-_bifunctional_methylenetetrahydrofolate_dehydrogenase/methenyltetrahydrofolate_cyclohydrolase","Early",661.235,"Early Sample 1",2.82035583326083
