"","Gene","F_values","P_values","Genetic.Elements","stage","counts","Sample","logCounts"
"1","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Mid",671.169,"Mid Sample 4",2.82683188906043
"2","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Mid",746.001,"Mid Sample 6",2.87273940963646
"3","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Early",645.449,"Early Sample 1",2.80986193228237
"4","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Mid",680.753,"Mid Sample 5",2.83298956390194
"5","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Stationary",1636.82,"Stationary Sample 7",3.21400092296423
"6","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Early",552.467,"Early Sample 2",2.74230634182154
"7","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Stationary",1887.65,"Stationary Sample 8",3.27592147239866
"8","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Early",646.262,"Early Sample 3",2.81040862029604
"9","BB_0007_-_hypothetical_protein",5.39299810755514,0.0456680416632666,"Chromosome","Stationary",782.511,"Stationary Sample 9",2.89349045127372
"10","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Mid",115.546,"Mid Sample 6",2.06275491556159
"11","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Mid",116.97,"Mid Sample 5",2.06807448990765
"12","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Stationary",99.4568,"Stationary Sample 9",1.99763448179446
"13","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Early",137.955,"Early Sample 2",2.13973744554052
"14","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Early",116.126,"Early Sample 3",2.06492946687349
"15","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Mid",139.175,"Mid Sample 4",2.14356122997898
"16","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Stationary",36.0684,"Stationary Sample 7",1.55712687737289
"17","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Early",134.658,"Early Sample 1",2.12923215984666
"18","BB_0009_-_hypothetical_protein",8.17228522894701,0.0193614429115096,"Chromosome","Stationary",20.8194,"Stationary Sample 8",1.31846820930305
"19","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Stationary",196.678,"Stationary Sample 7",2.29375578334102
"20","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Stationary",35.7989,"Stationary Sample 8",1.553869682195
"21","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Mid",330.948,"Mid Sample 4",2.519759760884
"22","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Mid",215.048,"Mid Sample 5",2.33253540786196
"23","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Early",308.874,"Early Sample 1",2.48978135235531
"24","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Stationary",190.052,"Stationary Sample 9",2.27887244423322
"25","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Early",368.407,"Early Sample 2",2.56632787351312
"26","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Mid",219.175,"Mid Sample 6",2.34079101522638
"27","BB_0012_truA_tRNA_pseudouridine_synthase_A",5.58183213546334,0.0427192597293053,"Chromosome","Early",299.391,"Early Sample 3",2.47623874086647
"28","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Mid",165.719,"Mid Sample 5",2.21937230396615
"29","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Early",243.234,"Early Sample 3",2.38602428186845
"30","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Stationary",108.624,"Stationary Sample 7",2.03592579133032
"31","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Early",311.22,"Early Sample 2",2.49306749837723
"32","BB_0013_-_hypothetical_protein",10.9285710385411,0.0099918078489355,"Chromosome","Stationary",19.2383,"Stationary Sample 8",1.28416669279335
